,tula,tver
a sign on the side of a road,300.0,385.0
a car parked on the side of a road,78.0,69.0
a view of the side of a road,51.0,34.0
a narrow road,50.0,39.0
a close up of a road,48.0,56.0
a close up of a country road,40.0,54.0
a train traveling down a dirt road,26.0,18.0
a dirt road,26.0,17.0
a path with trees on the side of a road,25.0,13.0
a train is parked on the side of a road,20.0,16.0
a sign on the side of a dirt road,18.0,20.0
a train is on the side of a road,16.0,11.0
a close up of a tree,15.0,9.0
a view of a city street,13.0,15.0
a train traveling through a rural country road,12.0,6.0
a car is lined up on the side of a road,11.0,6.0
a view of a road,11.0,3.0
the side of a road,10.0,10.0
a car driving on a road,7.0,2.0
a car driving down a dirt road,7.0,4.0
a building that has a sign on the side of a road,6.0,3.0
a tree on the side of a road,6.0,7.0
a tree on a dirt road,6.0,
a truck traveling down a dirt road,6.0,5.0
a street scene with focus on the side of a road,6.0,2.0
a tree with snow on the side of a road,5.0,1.0
a path with trees on the side of a dirt road,5.0,4.0
a car parked on the side of a building,5.0,5.0
a truck is parked on the side of a road,4.0,2.0
a tree in the middle of the street,4.0,
a house that has a sign on the side of a road,4.0,11.0
a house on the side of a road,4.0,6.0
a close up of a street,4.0,1.0
a close up of a car going down the road,4.0,6.0
a large room,4.0,
a person riding a skateboard up the side of a road,3.0,
a close up of a car going down the street,3.0,1.0
a man riding a skateboard up the side of a road,3.0,1.0
a motorcycle parked on the side of a road,3.0,1.0
a train is coming down the mountain,3.0,
a path with trees on the side of a mountain,3.0,
a train driving down the road,3.0,1.0
a large long train on a steel track,3.0,3.0
a view of a snow covered road,3.0,1.0
a group of people traveling down a dirt road,2.0,
a sign on the side of a building,2.0,3.0
a street with cars parked on the side of a road,2.0,
a train on a train track with trees in the background,2.0,1.0
a truck that is driving down the road,2.0,5.0
a group of people walking down a dirt road,2.0,1.0
a close up of a hillside,2.0,
a close up of a highway,2.0,3.0
a person riding on top of a dirt road,2.0,
a road with a building in the background,2.0,1.0
a car driving down a street,2.0,1.0
a sign on the side of a snow covered road,2.0,
a group of people in a room,2.0,
a passenger bus that is parked on the side of a road,2.0,
a truck driving down a dirt road,2.0,3.0
diagram,2.0,
a car driving down a country road,2.0,1.0
a long road with grass and trees,2.0,3.0
an empty road,2.0,4.0
a sign on the side of a dirt field,2.0,1.0
a truck on the side of a road,2.0,
a path with trees on the side of a building,2.0,2.0
a man riding a skateboard down the side of a road,2.0,
a group of people on a mountain road,2.0,
a house on a dirt road,2.0,2.0
a building on the side of a road,2.0,4.0
a house with trees in the background,2.0,1.0
a city street,2.0,2.0
a car is lined up on the street,1.0,
a train is on the side of a mountain,1.0,
a man riding on top of a dirt road,1.0,
a train on a track with smoke coming out of it,1.0,1.0
a tree in a parking lot,1.0,1.0
a long train traveling along side of a road,1.0,
a view of a street,1.0,
a large tree in a field,1.0,
a long road with grass on either side of it,1.0,1.0
a long road with grass on the side of the road,1.0,4.0
a person riding on the back of a country road,1.0,
